,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:08:03,149591,125000,500000,11,237272,250000,12256797091,110710
11/01/2021 13:42:04,149548,125000,29999012,11,2971728,280000,80369171756340,8964885
11/01/2021 16:41:24,149548,125000,29999012,11,2971728,280000,80369171756340,8964885
13/01/2021 00:39:58,149665,145000,29999012,8,3968001,255000,110644008392018,10518745
13/01/2021 01:09:25,149665,145000,29999012,8,3968001,255000,110644008392018,10518745
13/01/2021 02:01:17,149665,145000,29999012,8,3968001,255000,110644008392018,10518745
13/01/2021 20:53:43,149691,150000,29999012,8,3967376,260000,110637815804875,10518451
13/01/2021 23:15:25,149691,150000,29999012,8,3967376,260000,110637815804875,10518451
14/01/2021 01:35:27,149691,150000,29999012,8,3967376,260000,110637815804875,10518451
14/01/2021 03:33:52,149691,150000,29999012,8,3967376,260000,110637815804875,10518451
14/01/2021 08:37:34,149691,150000,29999012,8,3967376,260000,110637815804875,10518451
14/01/2021 14:01:21,149691,150000,29999012,8,3967376,260000,110637815804875,10518451
14/01/2021 20:50:07,150184,250000,29999012,5,6217802,280000,176733471887228,13294114
15/01/2021 00:44:38,150184,250000,29999012,5,6217802,280000,176733471887228,13294114
15/01/2021 05:52:34,150184,250000,29999012,5,6217802,280000,176733471887228,13294114
