,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:20:31,2290,1739,2000,19996,173999
11/01/2021 14:51:57,2290,1739,2000,19996,173999
11/01/2021 17:51:38,2290,1739,2000,19996,173999
13/01/2021 13:42:06,2290,1666,2000,16666,170000
13/01/2021 14:56:23,2290,1666,2000,16666,170000
13/01/2021 15:59:55,2290,1666,2000,16666,170000
13/01/2021 17:33:07,2290,1666,1999,16666,170000
13/01/2021 18:40:24,2290,1666,1999,16666,170000
13/01/2021 19:54:23,2189,1666,1999,16666,170000
13/01/2021 22:19:39,2189,1444,-,14444,170000
14/01/2021 00:35:58,2189,1444,-,14444,170000
14/01/2021 02:36:49,2189,1444,-,14444,170000
14/01/2021 07:40:17,2189,1444,-,14444,170000
