,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:58:01,81,80,-,-,8000
11/01/2021 15:27:39,94,94,498,150000,9497
11/01/2021 18:27:46,90,89,99,150000,8999
14/01/2021 01:51:00,70,69,400,2999,6900
14/01/2021 06:43:01,67,63,400,2999,6395
14/01/2021 06:54:37,67,63,400,2999,6395
14/01/2021 12:20:33,82,79,100,2801,7999
14/01/2021 14:22:29,72,79,79,2801,8000
14/01/2021 15:29:17,82,79,79,2800,8499
14/01/2021 19:03:07,71,69,79,2800,6996
14/01/2021 22:44:45,80,79,201,1888,7949
14/01/2021 22:57:59,79,70,201,1888,7046
15/01/2021 01:55:41,94,94,400,1888,9499
15/01/2021 03:44:13,113,49,400,1888,4990
15/01/2021 04:06:02,80,49,400,1888,4900
15/01/2021 10:57:44,64,77,400,1888,7799
