,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:16:24,3261,1100,1100,16888,-
11/01/2021 14:47:38,3261,1100,1100,16888,-
11/01/2021 17:47:25,3175,1200,1200,17000,-
13/01/2021 12:14:59,3175,1199,1199,16900,-
13/01/2021 13:02:18,3175,1199,1199,16900,-
13/01/2021 14:51:05,3175,1199,1199,16900,-
13/01/2021 17:27:32,3175,1199,1199,16900,-
13/01/2021 18:34:49,3175,1199,1199,16900,-
13/01/2021 19:48:47,3175,1199,1199,16900,-
13/01/2021 22:13:57,3175,1199,1199,16900,-
14/01/2021 00:30:26,3175,1199,1199,16900,-
14/01/2021 02:31:29,3175,1199,1199,16900,-
14/01/2021 07:35:00,3175,1199,1199,16900,-
14/01/2021 13:00:01,3175,1199,1199,16900,-
14/01/2021 16:10:15,3175,1199,1199,16900,-
14/01/2021 19:44:38,3111,1699,-,16999,-
14/01/2021 23:40:23,3111,1699,-,16999,-
15/01/2021 02:37:55,3111,1699,-,16999,-
15/01/2021 04:48:44,3111,1699,-,16999,-
16/01/2021 04:48:55,3111,1400,-,14000,-
16/01/2021 05:51:57,3111,1400,-,14000,-
16/01/2021 06:54:36,3111,1400,-,14000,-
16/01/2021 07:58:06,3111,1400,-,14000,-
16/01/2021 09:02:09,3111,1400,-,14000,-
16/01/2021 10:05:13,3111,1197,1197,14000,-
16/01/2021 11:09:54,3111,1197,1197,14000,-
16/01/2021 15:30:29,3111,1197,1197,14000,-
16/01/2021 16:36:37,3111,1197,1197,14000,-
