,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:13:49,304,250,300,2500,27665
11/01/2021 14:45:09,304,249,299,2498,27663
11/01/2021 17:44:57,300,299,299,2999,34999
13/01/2021 12:11:43,396,333,1500,6997,33330
13/01/2021 12:59:07,396,290,1500,2900,33330
13/01/2021 13:37:27,396,290,1500,2900,33330
13/01/2021 14:47:56,396,290,1500,2900,33329
13/01/2021 15:51:19,396,290,1500,2900,30000
13/01/2021 17:24:14,396,290,-,2900,30000
13/01/2021 18:31:34,396,290,-,2900,30000
13/01/2021 19:45:34,330,333,1500,6997,33328
13/01/2021 22:10:37,314,333,1500,6995,33328
14/01/2021 00:27:11,330,331,1500,6499,33198
14/01/2021 02:28:19,330,331,1300,6495,33198
14/01/2021 07:31:51,331,331,1500,6400,33199
14/01/2021 12:56:56,362,291,1500,6499,29123
14/01/2021 16:06:55,362,291,1500,3999,29121
14/01/2021 19:41:22,362,200,200,3000,28999
14/01/2021 23:37:05,362,190,190,2999,28499
15/01/2021 02:34:40,338,200,200,2999,28500
15/01/2021 04:45:31,321,200,200,2999,28998
16/01/2021 04:45:51,313,100,100,2000,29999
16/01/2021 05:48:53,313,100,100,2000,29999
16/01/2021 06:51:31,313,100,100,2000,29999
16/01/2021 07:54:57,313,100,100,2000,29999
16/01/2021 08:59:03,313,100,100,2000,23333
16/01/2021 10:02:07,313,100,100,2000,22000
16/01/2021 11:06:46,286,199,1500,1999,23333
16/01/2021 15:27:07,262,240,1500,2400,29999
16/01/2021 16:33:25,262,240,1500,2400,29999
16/01/2021 18:34:55,278,299,1500,6500,29998
16/01/2021 19:44:07,278,250,250,6500,29000
16/01/2021 20:54:27,278,250,250,6499,29000
16/01/2021 22:11:02,284,250,250,6499,29998
16/01/2021 23:22:29,289,190,190,6499,29996
17/01/2021 01:14:42,289,190,190,6200,29995
17/01/2021 02:09:24,289,190,190,6200,29995
17/01/2021 03:02:39,296,190,190,6200,29998
17/01/2021 03:55:20,298,190,190,6200,29999
17/01/2021 04:49:41,299,190,190,6200,30000
17/01/2021 05:42:20,299,190,190,6200,30000
17/01/2021 06:33:53,299,190,190,6200,30000
17/01/2021 07:26:20,299,190,190,6200,30000
17/01/2021 09:11:04,299,190,190,6200,30000
17/01/2021 10:03:53,327,190,190,6499,30000
17/01/2021 12:19:37,327,190,190,6499,30000
17/01/2021 13:13:05,346,190,190,6997,31497
17/01/2021 14:07:09,346,190,190,3000,31497
17/01/2021 15:00:18,346,190,190,3000,31497
17/01/2021 15:54:43,346,190,190,3000,31497
18/01/2021 13:59:28,305,299,1500,2999,31497
18/01/2021 13:59:32,305,299,1500,2999,31497
18/01/2021 14:31:14,305,299,1500,2999,31497
18/01/2021 15:33:11,305,299,1500,2999,31497
18/01/2021 16:07:17,310,299,-,2999,31400
18/01/2021 16:43:30,310,299,-,2999,31400
18/01/2021 17:15:04,313,314,-,6997,31499
18/01/2021 17:15:09,313,314,-,-,31499
18/01/2021 17:47:04,313,314,-,6997,31499
18/01/2021 18:17:10,313,314,-,6997,31498
