,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:05:59,6269,679,31999,17,13201,13500,118886059,10903
11/01/2021 13:40:03,6260,679,31999,14,11966,10638,115925630,10766
11/01/2021 16:39:22,6350,680,31999,17,12948,13500,123556167,11115
13/01/2021 00:37:21,5720,699,150000,17,20195,13499,1238882999,35197
13/01/2021 01:06:49,5720,650,150000,17,20187,13499,1239195125,35202
13/01/2021 01:58:39,5720,650,150000,17,20187,13499,1239195125,35202
13/01/2021 20:51:37,5928,729,150000,14,19973,8999,1488386000,38579
13/01/2021 23:13:14,5888,700,150000,14,21539,13499,1458989767,38196
14/01/2021 01:33:17,5776,700,150000,11,25075,13500,1803794520,42471
14/01/2021 03:31:47,5776,700,150000,11,25075,13500,1803794520,42471
14/01/2021 08:35:32,5759,700,150000,11,25079,13500,1803563496,42468
14/01/2021 13:59:28,5787,730,150000,11,22561,7777,1848289213,42991
14/01/2021 20:48:08,5783,700,150000,11,24197,7777,1829353488,42770
15/01/2021 00:42:17,5684,700,150000,11,24836,14000,1809591058,42539
15/01/2021 05:50:08,5684,700,150000,14,23994,18000,1403208697,37459
17/01/2021 02:21:42,5222,4000,150000,11,28640,15000,1753595842,41875
17/01/2021 06:40:38,5303,3599,150000,11,29942,22000,1724022682,41521
17/01/2021 10:24:50,5337,4000,150000,11,29706,18000,1725727588,41541
17/01/2021 13:43:30,5547,4500,150000,11,28752,22000,1668192556,40843
17/01/2021 16:57:21,5589,4500,150000,11,28954,22000,1662422727,40772
18/01/2021 17:47:51,6563,4000,150000,8,36174,7500,2614824381,51135
