,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:55:56,1746,993,993,22847,185000
11/01/2021 15:25:41,1746,993,993,22846,185000
11/01/2021 15:25:47,1746,993,993,22846,185000
11/01/2021 18:25:47,1746,993,993,22846,184000
14/01/2021 02:11:06,1722,998,998,22845,99998
14/01/2021 07:14:56,1722,998,998,22844,99998
14/01/2021 07:15:04,1722,998,998,22844,99998
14/01/2021 12:40:03,1722,998,998,10000,99998
14/01/2021 12:40:11,1722,998,998,10000,99998
14/01/2021 14:42:04,1722,998,998,10000,99998
14/01/2021 14:42:11,1722,998,998,10000,99998
14/01/2021 15:49:29,1722,998,998,10000,99998
14/01/2021 15:49:37,1722,998,998,10000,99998
14/01/2021 19:23:32,1722,997,997,9999,99998
14/01/2021 19:23:40,1722,997,997,9999,99998
14/01/2021 23:18:46,1718,997,997,9999,99998
14/01/2021 23:18:55,1718,997,997,9999,99998
15/01/2021 02:16:44,1718,997,997,9999,99998
15/01/2021 02:16:53,1718,997,997,9999,99998
15/01/2021 04:27:10,1718,997,997,9999,99998
15/01/2021 04:27:19,1718,997,997,9999,99998
