,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:01:43,21646,19000,19000,-,-
11/01/2021 15:31:22,21646,19000,19000,-,-
11/01/2021 18:31:29,21634,19000,19000,-,-
14/01/2021 01:55:43,21599,18999,18999,-,-
14/01/2021 01:55:46,21599,18999,18999,-,-
14/01/2021 06:47:42,21599,18999,18999,-,-
14/01/2021 06:47:45,21599,18999,18999,-,-
14/01/2021 06:59:27,21599,18999,18999,-,-
14/01/2021 06:59:30,21599,18999,18999,-,-
14/01/2021 12:25:08,21599,18999,18999,-,-
14/01/2021 12:25:11,21599,18999,18999,-,-
14/01/2021 14:27:15,21599,18999,18999,-,-
14/01/2021 14:27:18,21599,18999,18999,-,-
14/01/2021 15:33:55,21599,18999,18999,-,-
14/01/2021 15:33:58,21599,18999,18999,-,-
14/01/2021 19:07:41,21599,18999,18999,-,-
14/01/2021 19:07:45,21599,18999,18999,-,-
14/01/2021 22:49:26,21599,18999,18999,-,-
14/01/2021 22:49:30,21599,18999,18999,-,-
14/01/2021 23:02:38,21599,18999,18999,-,-
14/01/2021 23:02:42,21599,18999,18999,-,-
15/01/2021 02:00:33,21599,18999,18999,-,-
15/01/2021 02:00:36,21599,18999,18999,-,-
15/01/2021 03:48:48,21599,18999,18999,-,-
15/01/2021 03:48:51,21599,18999,18999,-,-
15/01/2021 04:10:41,21599,18999,18999,-,-
15/01/2021 04:10:45,21599,18999,18999,-,-
15/01/2021 11:02:21,21599,18998,18998,-,-
15/01/2021 11:02:24,21599,18998,18998,-,-
