,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:16:13,527,495,495,4999,57594
11/01/2021 14:47:27,527,495,495,4998,57594
11/01/2021 17:47:16,527,495,495,4998,52000
13/01/2021 12:14:48,519,549,667,-,54998
13/01/2021 13:02:07,522,549,-,-,54997
13/01/2021 14:50:54,522,549,-,-,54997
13/01/2021 15:54:20,-,1088,1499,10888,199999
13/01/2021 17:27:21,522,549,-,-,54997
13/01/2021 18:34:38,522,520,520,-,54997
13/01/2021 19:48:36,571,520,520,-,57600
13/01/2021 22:13:45,571,520,520,5200,57600
14/01/2021 00:30:15,571,520,520,5200,57600
14/01/2021 02:31:18,571,520,520,5200,57600
14/01/2021 07:34:50,571,520,520,5200,57600
14/01/2021 12:59:50,571,519,520,5199,57600
14/01/2021 16:10:04,579,519,520,5199,57996
14/01/2021 19:44:26,581,588,-,-,58895
14/01/2021 23:40:12,581,-,-,-,-
15/01/2021 02:37:44,581,588,-,-,58894
15/01/2021 04:48:33,581,588,-,-,58894
16/01/2021 04:48:44,567,400,650,-,40000
16/01/2021 05:51:46,567,400,650,-,40000
16/01/2021 06:54:25,567,400,650,-,40000
16/01/2021 07:57:55,567,400,650,-,40000
16/01/2021 09:01:58,567,400,650,-,40000
16/01/2021 10:05:01,567,400,650,-,40000
16/01/2021 11:09:43,567,400,650,-,40000
16/01/2021 15:30:18,567,399,650,5600,39999
16/01/2021 16:36:26,567,399,650,5600,39999
16/01/2021 18:38:03,567,399,650,5600,39999
16/01/2021 19:47:24,567,399,650,5600,39999
16/01/2021 20:57:44,567,399,650,5500,39998
16/01/2021 22:14:25,565,399,650,5500,39998
16/01/2021 23:25:40,565,399,650,5500,39998
17/01/2021 01:17:47,565,399,650,5000,39998
17/01/2021 02:12:23,565,399,650,5000,39998
17/01/2021 03:05:46,565,399,650,5000,39998
17/01/2021 03:58:26,565,399,650,5000,39998
17/01/2021 04:52:47,565,399,650,5000,39998
17/01/2021 05:45:15,565,399,650,5000,39998
17/01/2021 06:36:57,565,399,650,5000,39998
17/01/2021 07:29:15,565,399,650,5000,39998
17/01/2021 09:14:00,562,399,450,-,39998
17/01/2021 10:07:08,562,399,450,-,39998
17/01/2021 12:22:38,562,399,450,-,39998
17/01/2021 13:16:13,562,399,450,-,39998
17/01/2021 14:10:14,562,399,450,-,39998
17/01/2021 15:03:25,477,400,450,-,40000
17/01/2021 15:57:47,477,400,450,-,40000
18/01/2021 16:10:23,489,450,450,4555,49998
18/01/2021 16:10:27,489,450,450,4555,49998
