,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:58:21,1462,1360,1500,13600,148000
11/01/2021 15:27:59,1453,1414,-,17888,141488
11/01/2021 18:28:06,1350,1250,1800,17888,125000
14/01/2021 01:51:27,1644,1649,1700,16998,164990
14/01/2021 06:43:28,1648,1649,1700,16998,164999
14/01/2021 06:55:05,1648,1649,1700,16998,164999
14/01/2021 12:21:02,1657,1199,1550,16997,119998
14/01/2021 14:22:56,1521,1599,1599,16000,159989
14/01/2021 15:29:43,1559,1509,1599,16997,150999
14/01/2021 19:03:33,1336,1385,1500,16995,138590
14/01/2021 22:45:11,1354,1349,1990,16995,134998
14/01/2021 22:58:24,1354,1349,1990,16995,134995
15/01/2021 01:56:09,1346,1300,1300,14000,133000
15/01/2021 03:44:40,1342,1250,1250,14000,132990
15/01/2021 04:06:29,1342,1250,1250,14000,132990
15/01/2021 10:58:11,1368,1000,1000,16997,133898
17/01/2021 01:24:16,1713,1610,1990,16108,-
17/01/2021 05:34:58,1609,1499,1990,16108,149999
17/01/2021 09:23:14,1595,1489,1990,16107,148998
17/01/2021 11:08:32,1498,1610,1990,16106,169999
17/01/2021 12:44:53,1585,1600,1990,16105,160000
17/01/2021 14:24:48,1607,1550,1550,16104,169998
17/01/2021 15:53:43,1657,1610,-,16107,169900
17/01/2021 18:13:24,1543,1400,1500,16107,140000
18/01/2021 14:17:19,1684,1600,1600,-,167298
18/01/2021 16:48:08,1668,1600,1600,-,160000
18/01/2021 18:32:14,1647,1600,1600,-,164600
