,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:08:47,121,179,400,-,17999
11/01/2021 14:40:08,121,179,-,-,17999
11/01/2021 17:39:54,143,179,-,3000,17999
13/01/2021 12:05:06,154,180,-,3000,18000
13/01/2021 12:52:34,154,180,-,3000,18000
13/01/2021 13:30:48,154,180,-,3000,18000
13/01/2021 14:41:29,154,180,-,3000,18000
13/01/2021 15:44:49,154,180,-,3000,18000
13/01/2021 17:17:17,154,180,-,3000,18000
13/01/2021 18:24:53,154,180,-,3000,18000
13/01/2021 19:38:55,154,180,-,3000,18000
13/01/2021 22:02:57,154,180,-,3000,18000
14/01/2021 00:20:23,154,180,-,3000,18000
14/01/2021 02:21:44,154,180,-,3000,18000
14/01/2021 07:25:27,154,180,-,3000,18000
14/01/2021 12:50:36,154,180,-,3000,18000
14/01/2021 16:00:19,154,180,-,3000,18000
14/01/2021 19:34:29,154,180,-,3000,18000
14/01/2021 23:30:17,154,150,-,3000,15000
15/01/2021 02:27:56,154,150,-,3000,15000
15/01/2021 04:38:37,154,150,-,3000,15000
16/01/2021 04:39:04,154,150,-,3000,15000
16/01/2021 05:42:06,154,150,-,3000,15000
16/01/2021 06:44:52,154,150,-,3000,15000
16/01/2021 07:48:07,154,150,-,3000,15000
16/01/2021 08:52:09,154,150,-,3000,15000
16/01/2021 09:55:24,154,150,-,3000,15000
16/01/2021 10:59:58,154,150,-,3000,15000
16/01/2021 15:19:52,154,150,-,3000,15000
16/01/2021 16:26:23,154,150,-,3000,15000
16/01/2021 18:27:37,154,150,-,3000,15000
16/01/2021 19:36:39,154,150,-,3000,15000
16/01/2021 20:47:00,154,150,-,3000,15000
16/01/2021 22:03:40,154,150,-,3000,15000
16/01/2021 23:14:57,154,150,-,3000,15000
17/01/2021 01:07:40,154,150,-,3000,15000
17/01/2021 02:02:16,154,150,-,3000,15000
17/01/2021 02:55:46,154,150,-,3000,15000
17/01/2021 03:48:30,154,150,-,3000,15000
17/01/2021 04:42:17,154,150,-,3000,15000
17/01/2021 05:35:36,154,150,-,3000,15000
17/01/2021 06:27:00,154,150,-,3000,15000
17/01/2021 07:19:20,154,150,-,3000,15000
17/01/2021 09:04:08,154,150,-,3000,15000
17/01/2021 09:56:46,154,150,-,3000,15000
17/01/2021 12:12:38,154,140,-,3000,14000
17/01/2021 13:06:04,154,140,-,3000,14000
17/01/2021 14:00:09,154,140,-,3000,14000
17/01/2021 14:53:10,154,140,-,3000,14000
17/01/2021 15:47:50,154,140,-,3000,14000
18/01/2021 13:51:42,160,100,-,3000,10000
18/01/2021 14:22:18,160,100,-,3000,10000
18/01/2021 14:56:24,160,100,-,3000,10000
18/01/2021 15:25:22,160,100,-,3000,10000
18/01/2021 15:59:21,160,100,-,3000,10000
18/01/2021 16:35:34,160,100,-,3000,10000
18/01/2021 17:06:04,160,100,-,3000,10000
18/01/2021 17:06:18,160,100,-,3000,10000
18/01/2021 17:39:23,160,100,-,3000,10000
18/01/2021 18:08:35,160,100,-,3000,10000
18/01/2021 18:08:49,160,100,-,3000,10000
18/01/2021 18:09:03,160,100,-,3000,10000
