,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:24:23,2834,2500,2800,29000,250000
11/01/2021 14:55:55,2834,2500,2800,29000,250000
11/01/2021 17:55:38,2834,2500,2800,29000,250000
13/01/2021 13:47:23,2705,2000,2000,28997,238998
13/01/2021 15:01:22,2705,2000,2000,28997,238998
13/01/2021 16:04:58,2705,2000,2000,28899,238998
13/01/2021 17:38:26,2705,2000,2000,27000,238998
13/01/2021 18:45:36,2705,2000,2000,27000,238998
13/01/2021 19:59:49,2705,2000,2000,27000,238998
13/01/2021 22:25:02,2692,2100,2100,27000,238998
14/01/2021 00:41:19,2692,2100,2100,27000,230000
14/01/2021 02:41:51,2692,2100,2100,27000,230000
14/01/2021 07:45:23,2692,2100,2100,27000,230000
14/01/2021 13:10:27,2692,2100,2100,27000,229999
14/01/2021 16:21:13,2686,2299,2790,27000,229999
14/01/2021 19:55:11,2552,2299,2800,25000,229999
14/01/2021 23:51:08,2545,2299,2800,28899,229999
15/01/2021 02:48:33,2545,2299,2800,27999,229999
15/01/2021 04:59:32,2545,2100,2800,27999,210000
16/01/2021 04:59:03,2575,2099,2800,27899,209998
16/01/2021 06:02:05,2575,2099,2800,27899,209998
16/01/2021 07:04:44,2575,2099,2800,27899,209998
16/01/2021 08:08:39,2575,2099,2800,27899,209998
16/01/2021 09:12:20,2641,2099,2800,28997,209998
16/01/2021 10:16:04,2641,2099,2800,28997,209998
16/01/2021 11:20:25,2641,2099,2800,28997,209998
16/01/2021 15:41:36,2220,2099,2800,24432,209998
16/01/2021 16:47:31,2220,2099,2800,24432,209998
