,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:28:37,180,179,179,-,98000
11/01/2021 02:31:40,180,179,179,-,98000
11/01/2021 15:00:02,180,179,179,-,98000
11/01/2021 15:02:58,180,179,179,-,98000
11/01/2021 17:59:50,180,179,179,-,98000
11/01/2021 18:02:54,180,179,179,-,98000
13/01/2021 13:52:44,180,100,100,-,88000
13/01/2021 13:56:22,180,100,100,-,88000
13/01/2021 15:06:33,180,100,100,-,88000
13/01/2021 15:10:12,180,100,100,-,88000
13/01/2021 16:10:08,180,100,100,-,88000
13/01/2021 16:13:49,180,100,100,-,88000
13/01/2021 17:43:52,180,100,100,-,88000
13/01/2021 17:47:43,180,100,100,-,88000
13/01/2021 18:50:55,180,100,100,-,88000
13/01/2021 18:54:42,180,100,100,-,88000
13/01/2021 20:05:37,180,100,100,-,88000
13/01/2021 20:09:51,180,100,100,-,88000
13/01/2021 22:30:35,180,100,100,-,88000
13/01/2021 22:34:36,180,100,100,-,88000
14/01/2021 00:45:45,180,100,100,-,88000
14/01/2021 00:49:55,180,100,100,-,88000
14/01/2021 02:47:10,180,100,100,-,88000
14/01/2021 02:50:57,180,100,100,-,88000
14/01/2021 07:50:42,180,100,100,-,88000
14/01/2021 07:54:31,180,100,100,-,88000
14/01/2021 13:15:50,180,100,100,-,88000
14/01/2021 13:19:41,180,100,100,-,88000
14/01/2021 16:26:43,180,100,100,-,88000
14/01/2021 16:30:33,180,100,100,-,88000
14/01/2021 20:00:58,180,100,100,-,88000
14/01/2021 20:05:04,180,100,100,-,88000
14/01/2021 23:56:42,180,100,100,-,88000
15/01/2021 00:00:40,180,100,100,-,88000
15/01/2021 02:53:59,180,100,100,-,88000
15/01/2021 02:54:02,180,100,100,-,88000
15/01/2021 02:57:54,180,100,100,-,88000
15/01/2021 02:57:57,180,100,100,-,88000
15/01/2021 05:04:56,180,100,100,-,88000
15/01/2021 05:04:59,180,100,100,-,88000
15/01/2021 05:08:45,180,100,100,-,88000
15/01/2021 05:08:48,180,100,100,-,88000
16/01/2021 05:04:17,180,100,100,-,88000
16/01/2021 05:04:20,180,100,100,-,88000
16/01/2021 05:07:57,180,100,100,-,88000
16/01/2021 05:08:01,180,100,100,-,88000
16/01/2021 06:07:12,180,100,100,-,88000
16/01/2021 06:07:15,180,100,100,-,88000
16/01/2021 06:10:50,180,100,100,-,88000
16/01/2021 06:10:53,180,100,100,-,88000
16/01/2021 07:09:52,180,100,100,-,88000
16/01/2021 07:09:55,180,100,100,-,88000
16/01/2021 07:13:31,180,100,100,-,88000
16/01/2021 07:13:34,180,100,100,-,88000
16/01/2021 08:13:53,180,100,100,-,88000
16/01/2021 08:13:57,180,100,100,-,88000
16/01/2021 08:17:34,180,100,100,-,88000
16/01/2021 08:17:37,180,100,100,-,88000
16/01/2021 09:17:37,180,100,100,-,88000
16/01/2021 09:17:40,180,100,100,-,88000
16/01/2021 09:21:15,180,100,100,-,88000
16/01/2021 09:21:19,180,100,100,-,88000
16/01/2021 10:21:21,180,100,100,-,88000
16/01/2021 10:21:24,180,100,100,-,88000
16/01/2021 10:25:04,180,100,100,-,88000
16/01/2021 10:25:07,180,100,100,-,88000
16/01/2021 15:46:50,180,100,100,-,88000
16/01/2021 15:46:53,180,100,100,-,88000
16/01/2021 15:50:28,180,100,100,-,88000
16/01/2021 15:50:31,180,100,100,-,88000
16/01/2021 16:52:46,180,100,100,-,88000
16/01/2021 16:52:49,180,100,100,-,88000
16/01/2021 16:56:27,180,100,100,-,88000
16/01/2021 16:56:31,180,100,100,-,88000
16/01/2021 18:54:55,180,100,100,-,88000
16/01/2021 18:54:59,180,100,100,-,88000
16/01/2021 18:58:52,180,100,100,-,88000
16/01/2021 18:58:56,180,100,100,-,88000
16/01/2021 20:04:58,180,100,100,-,88000
16/01/2021 20:05:02,180,100,100,-,88000
16/01/2021 20:08:58,180,100,100,-,88000
16/01/2021 20:09:02,180,100,100,-,88000
16/01/2021 22:31:59,180,100,100,-,88000
16/01/2021 22:32:03,180,100,100,-,88000
16/01/2021 22:35:59,180,100,100,-,88000
16/01/2021 22:36:03,180,100,100,-,88000
16/01/2021 23:43:02,180,100,100,-,88000
16/01/2021 23:43:06,180,100,100,-,88000
16/01/2021 23:46:57,180,100,100,-,88000
16/01/2021 23:47:01,180,100,100,-,88000
17/01/2021 01:34:42,180,100,100,-,88000
17/01/2021 01:34:45,180,100,100,-,88000
17/01/2021 01:38:26,180,100,100,-,88000
17/01/2021 01:38:30,180,100,100,-,88000
17/01/2021 02:28:54,180,100,100,-,88000
17/01/2021 02:28:57,180,100,100,-,88000
17/01/2021 02:32:26,180,100,100,-,88000
17/01/2021 02:32:30,180,100,100,-,88000
17/01/2021 03:21:41,180,100,100,-,88000
17/01/2021 03:21:44,180,100,100,-,88000
17/01/2021 03:25:13,180,100,100,-,88000
17/01/2021 03:25:16,180,100,100,-,88000
17/01/2021 04:14:28,180,100,100,-,88000
17/01/2021 04:14:32,180,100,100,-,88000
17/01/2021 04:18:10,180,100,100,-,88000
17/01/2021 04:18:13,180,100,100,-,88000
17/01/2021 05:08:51,180,100,100,-,88000
17/01/2021 05:08:55,180,100,100,-,88000
17/01/2021 05:12:32,180,100,100,-,88000
17/01/2021 05:12:36,180,100,100,-,88000
17/01/2021 06:00:52,180,100,100,-,88000
17/01/2021 06:00:56,180,100,100,-,88000
17/01/2021 06:04:23,180,100,100,-,88000
17/01/2021 06:04:27,180,100,100,-,88000
17/01/2021 06:52:49,180,100,100,-,88000
17/01/2021 06:52:52,180,100,100,-,88000
17/01/2021 06:56:24,180,100,100,-,88000
17/01/2021 06:56:28,180,100,100,-,88000
17/01/2021 07:45:01,180,100,100,-,88000
17/01/2021 07:45:04,180,100,100,-,88000
17/01/2021 07:48:35,180,100,100,-,88000
17/01/2021 07:48:39,180,100,100,-,88000
17/01/2021 09:29:51,180,100,100,-,88000
17/01/2021 09:29:54,180,100,100,-,88000
17/01/2021 09:33:23,180,100,100,-,88000
17/01/2021 09:33:26,180,100,100,-,88000
