,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:21:28,2605,2590,5000,25900,260000
11/01/2021 14:52:59,2603,2599,2600,25999,259999
11/01/2021 17:52:41,2603,2599,2600,25999,259995
13/01/2021 13:43:27,3389,4499,4499,45000,1000000
13/01/2021 14:57:35,3389,4499,4499,45000,1000000
13/01/2021 16:01:13,3440,4500,-,45000,1000000
13/01/2021 17:34:30,3440,4500,8499,45000,1000000
13/01/2021 18:41:45,3440,4500,8499,45000,1000000
13/01/2021 19:55:44,3440,4500,8499,45000,1000000
13/01/2021 22:21:02,3484,4000,8499,44500,400000
14/01/2021 00:37:22,3776,3499,8495,34998,399999
14/01/2021 02:38:07,3776,3490,7000,34900,399999
14/01/2021 07:41:36,3929,7000,7000,-,1000000
14/01/2021 13:06:41,3929,4490,7000,49999,449000
14/01/2021 16:17:16,3929,1000,1000,49999,449000
14/01/2021 19:51:24,3929,1000,1000,49999,448999
14/01/2021 23:47:19,3929,1000,1000,49999,448900
15/01/2021 02:44:42,3929,1000,1000,49999,439999
15/01/2021 04:55:37,3929,1000,1000,49999,439999
16/01/2021 04:55:28,3889,3500,3500,37999,389999
16/01/2021 05:58:29,3889,3500,3500,37999,389999
16/01/2021 07:01:09,3889,3499,3499,37999,389999
16/01/2021 08:04:55,3889,3499,3499,37999,389999
16/01/2021 09:08:41,3889,3499,3499,37999,389998
16/01/2021 10:12:09,3882,3499,3499,37999,389998
16/01/2021 11:16:30,3891,3499,3499,37999,390000
16/01/2021 15:37:39,3891,1600,1600,25000,389900
16/01/2021 16:43:31,3769,1600,1600,25000,350000
16/01/2021 18:45:28,3769,1600,1600,25000,345000
16/01/2021 19:55:05,3769,1599,1599,25000,344999
16/01/2021 21:05:22,3769,1599,1599,25000,344000
16/01/2021 22:22:06,3226,2999,3550,37998,299999
16/01/2021 23:33:08,3226,2990,3550,37998,299000
