,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:14:58,40,142,142,4999,19200
11/01/2021 14:46:16,40,142,142,4999,19200
11/01/2021 17:46:04,87,142,142,4999,19200
13/01/2021 12:13:11,110,142,142,4998,19200
13/01/2021 13:00:31,110,142,142,4998,19200
13/01/2021 14:49:19,110,142,142,4998,19200
13/01/2021 15:52:45,110,142,142,4998,19200
13/01/2021 17:25:43,110,142,142,4998,19200
13/01/2021 18:33:02,110,142,142,4998,19200
13/01/2021 19:47:00,110,142,142,4998,19200
13/01/2021 22:12:05,110,142,142,4998,19200
14/01/2021 00:28:38,110,142,142,4998,19200
14/01/2021 02:29:42,110,142,142,4998,19200
14/01/2021 07:33:15,110,142,142,4998,19200
14/01/2021 12:58:17,110,142,142,4998,19200
14/01/2021 16:08:24,110,142,142,4998,19200
14/01/2021 19:42:52,110,142,142,4998,19200
14/01/2021 23:38:36,110,142,142,4998,19200
15/01/2021 02:36:08,110,142,142,4998,19200
15/01/2021 04:46:57,110,142,142,4998,19200
16/01/2021 04:47:10,110,60,60,4998,19200
16/01/2021 05:50:11,110,60,60,4998,19200
16/01/2021 06:52:49,110,60,60,4998,19200
16/01/2021 07:56:15,110,60,60,4998,-
16/01/2021 09:00:24,110,60,60,4998,-
16/01/2021 10:03:24,110,60,60,4998,-
16/01/2021 11:08:07,110,60,60,4998,-
16/01/2021 15:28:33,110,60,60,4998,-
16/01/2021 16:34:48,110,60,60,4998,-
