,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:12:56,3,0,-,-,40
11/01/2021 14:44:17,3,0,-,-,40
11/01/2021 17:44:04,3,0,-,-,40
13/01/2021 12:10:31,3,0,-,-,40
13/01/2021 12:57:58,3,0,-,-,40
13/01/2021 13:36:16,3,0,-,-,40
13/01/2021 14:46:46,3,0,-,-,40
13/01/2021 15:50:09,3,0,-,-,40
13/01/2021 17:23:01,3,0,-,-,40
13/01/2021 18:30:20,1,1,-,-,120
13/01/2021 19:44:24,1,1,-,-,120
13/01/2021 22:09:18,1,1,-,-,120
14/01/2021 00:25:59,1,1,-,-,120
14/01/2021 02:27:10,1,1,-,-,120
14/01/2021 07:30:42,1,1,-,-,120
14/01/2021 12:55:48,1,1,-,-,120
14/01/2021 16:05:43,1,1,-,-,120
14/01/2021 19:40:06,1,1,-,-,120
14/01/2021 23:35:50,1,1,-,-,120
15/01/2021 02:33:28,1,1,-,-,120
15/01/2021 04:44:18,1,1,-,-,120
16/01/2021 04:44:39,1,1,-,-,120
16/01/2021 05:47:40,1,1,-,-,120
16/01/2021 06:50:20,1,1,-,-,120
16/01/2021 07:53:42,1,1,-,-,120
16/01/2021 08:57:50,1,1,-,-,120
16/01/2021 10:00:55,1,1,-,-,120
16/01/2021 11:05:31,1,1,-,-,120
16/01/2021 15:25:49,1,-,-,-,-
16/01/2021 16:32:12,1,-,-,-,-
