,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:33:09,54965,89999,98111,899999,-
11/01/2021 02:42:42,54965,89999,98111,899999,-
11/01/2021 15:04:43,56129,89999,-,899999,-
11/01/2021 15:14:09,56129,89999,-,899999,-
11/01/2021 18:04:41,56191,89999,-,899999,-
11/01/2021 18:14:12,56191,89999,-,899999,-
13/01/2021 13:58:27,57075,56000,56000,899999,-
13/01/2021 14:10:16,57075,56000,56000,899999,-
13/01/2021 15:12:14,57218,89999,-,899999,-
13/01/2021 16:15:53,57218,89999,120000,899999,-
13/01/2021 16:28:09,57218,89999,120000,899999,-
13/01/2021 17:49:52,57780,89999,120000,899999,-
13/01/2021 18:02:35,57780,89999,120000,899999,-
13/01/2021 18:56:49,59168,-,-,-,-
13/01/2021 19:09:11,59168,-,-,-,-
13/01/2021 20:12:05,59168,109999,109999,-,-
13/01/2021 22:36:52,60476,118000,118000,-,-
13/01/2021 22:46:05,60476,118000,118000,-,-
14/01/2021 13:21:40,62311,99998,99998,-,-
14/01/2021 13:33:27,62311,99998,99998,-,-
14/01/2021 16:32:34,62648,99998,99998,-,-
14/01/2021 16:38:53,62648,99998,99998,-,-
16/01/2021 05:09:55,65975,55000,55000,-,-
16/01/2021 05:21:53,65975,55000,55000,-,-
16/01/2021 06:12:48,65975,55000,55000,-,-
16/01/2021 06:24:38,65975,55000,55000,-,-
16/01/2021 07:15:30,65975,55000,55000,-,-
16/01/2021 07:27:38,65975,55000,55000,-,-
16/01/2021 08:19:32,65975,55000,55000,-,-
16/01/2021 08:31:21,65975,55000,55000,-,-
16/01/2021 09:23:16,65975,55000,55000,-,-
16/01/2021 09:35:01,65975,55000,55000,-,-
16/01/2021 10:27:03,65975,-,-,-,-
16/01/2021 10:39:12,65975,-,-,-,-
16/01/2021 15:52:32,65445,55000,55000,-,-
16/01/2021 16:05:11,65445,55000,55000,-,-
16/01/2021 16:58:32,65445,55000,55000,-,-
16/01/2021 17:11:05,65398,55000,55000,-,-
16/01/2021 19:01:01,65351,-,-,-,-
16/01/2021 19:13:48,65351,-,-,-,-
16/01/2021 20:11:10,65300,-,-,-,-
16/01/2021 20:24:06,65108,54999,54999,-,-
16/01/2021 22:38:12,64751,77000,77000,-,-
16/01/2021 22:51:43,64751,77000,77000,-,-
16/01/2021 23:49:09,64751,77000,77000,-,-
17/01/2021 00:02:10,64751,77000,77000,-,-
17/01/2021 01:40:32,65231,99999,99999,-,-
17/01/2021 02:34:27,65525,-,-,-,-
17/01/2021 03:27:13,65815,-,-,-,-
17/01/2021 04:20:15,66103,-,-,-,-
17/01/2021 05:14:39,66103,-,-,-,-
17/01/2021 06:06:27,66246,-,-,-,-
17/01/2021 06:58:24,66246,-,-,-,-
17/01/2021 07:50:36,66389,-,-,-,-
17/01/2021 09:35:22,66389,-,-,-,-
17/01/2021 10:29:34,66389,-,-,-,-
17/01/2021 12:44:57,66517,95000,95000,-,-
17/01/2021 13:38:33,66517,95000,95000,-,-
17/01/2021 14:31:54,66517,95000,95000,-,-
17/01/2021 15:25:53,66517,95000,95000,-,-
17/01/2021 16:20:28,66517,59000,59000,-,-
18/01/2021 14:10:37,67389,74990,74990,-,-
18/01/2021 14:44:36,67389,74990,74990,-,-
18/01/2021 14:45:48,67389,74990,74990,-,-
18/01/2021 15:14:50,67389,74990,74990,-,-
18/01/2021 15:16:39,67389,74990,74990,-,-
18/01/2021 15:46:48,67389,74990,74990,-,-
18/01/2021 16:24:18,67389,74990,74990,-,-
18/01/2021 17:27:47,67389,74990,74990,-,-
18/01/2021 17:28:49,67389,74990,74990,-,-
18/01/2021 17:58:57,67389,74990,74990,-,-
18/01/2021 18:00:03,67389,74990,74990,-,-
18/01/2021 18:30:24,67389,74990,74990,-,-
18/01/2021 18:31:21,67389,74990,74990,-,-
