,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:26:14,1164,1499,-,17999,149998
11/01/2021 14:57:47,1164,1499,-,17999,149997
11/01/2021 17:57:29,1164,1499,-,15425,149997
13/01/2021 13:49:57,1160,1290,1800,12900,149996
13/01/2021 15:03:47,1160,1290,1800,12900,149996
13/01/2021 16:07:21,1166,1290,1800,12900,149996
13/01/2021 17:40:58,1171,1290,1800,12900,149996
13/01/2021 18:48:05,1171,1290,1800,12900,149996
13/01/2021 20:02:27,1177,1290,-,12900,149996
13/01/2021 22:27:25,1177,1290,1676,12900,144999
14/01/2021 00:43:50,1179,1290,1675,12900,144999
14/01/2021 02:44:16,1179,1290,1675,12900,144999
14/01/2021 07:47:47,1179,1290,1600,12900,144999
14/01/2021 13:12:52,1179,1200,1600,12000,144999
14/01/2021 16:23:35,1180,1200,1200,12000,144999
14/01/2021 19:57:46,1181,1200,1200,12900,144999
14/01/2021 23:53:42,1185,1100,1100,12900,144999
15/01/2021 02:51:07,1185,1100,1100,12900,144999
15/01/2021 05:02:01,1189,1449,1600,-,144999
16/01/2021 05:01:26,1159,555,1500,9998,55555
16/01/2021 06:04:25,1159,555,1500,9998,55555
16/01/2021 07:07:06,1159,555,1500,9998,55555
16/01/2021 08:11:05,1159,555,1500,9998,55555
16/01/2021 09:14:46,1159,555,1500,9998,55555
16/01/2021 10:18:33,1159,555,1499,9998,55555
16/01/2021 11:22:48,1159,555,1499,9998,55555
16/01/2021 15:44:06,1159,555,1499,9000,55555
16/01/2021 16:50:00,1159,555,1499,9000,55555
16/01/2021 18:52:01,1159,555,-,9000,55554
16/01/2021 20:01:59,1135,555,1499,5555,55554
16/01/2021 22:28:58,1135,555,1400,5555,55554
16/01/2021 23:40:06,1110,555,1400,5555,55554
