,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:57:32,4274,4000,4000,43900,412000
11/01/2021 15:27:10,4068,3990,5000,43998,399000
11/01/2021 18:27:17,4003,3999,-,41997,399998
14/01/2021 01:50:21,4431,4399,4898,43999,450000
14/01/2021 06:42:21,4452,4399,4876,43998,445000
14/01/2021 06:53:58,4452,4399,4876,43998,445000
14/01/2021 12:19:54,4433,4260,4875,42800,426000
14/01/2021 14:21:50,4365,4260,4875,42900,426000
14/01/2021 15:28:40,4365,4260,4875,42900,426000
14/01/2021 19:02:29,3890,3690,4875,39996,369000
14/01/2021 22:44:07,4085,3790,-,37900,445000
14/01/2021 22:57:22,4085,3790,-,37900,444999
15/01/2021 01:55:01,4043,3999,4875,39997,444000
15/01/2021 03:43:35,4043,3999,4000,39997,444000
15/01/2021 04:05:22,4043,3999,4000,39997,444000
15/01/2021 10:57:04,3730,1500,1500,39999,444000
17/01/2021 01:23:08,4365,3999,3999,42798,441700
17/01/2021 05:33:51,4365,3949,3949,42796,434999
17/01/2021 09:22:01,4357,3949,3949,42795,441000
17/01/2021 11:07:19,4373,3899,3900,38999,441700
17/01/2021 12:43:34,4323,3850,3850,42700,441700
17/01/2021 14:23:37,4223,3850,3850,42499,399499
17/01/2021 15:52:30,4105,3850,3850,41509,399998
17/01/2021 18:12:10,4306,3940,3940,41500,445000
18/01/2021 14:16:13,4464,4499,-,44994,449998
18/01/2021 16:47:04,4475,4400,-,44900,440000
18/01/2021 18:31:06,4475,4400,-,44889,440000
