,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:34:32,4665,3900,4444,39000,-
11/01/2021 02:44:08,4665,3900,4444,39000,-
11/01/2021 15:06:09,4665,3799,-,37999,-
11/01/2021 15:15:35,4665,3799,-,37999,-
11/01/2021 18:06:08,4665,3799,-,37999,-
11/01/2021 18:15:38,4665,3799,-,37999,-
13/01/2021 14:00:23,4596,3500,-,35000,-
13/01/2021 14:12:13,4596,3500,-,35000,-
13/01/2021 15:14:11,4596,2999,2999,35000,-
13/01/2021 16:17:51,4596,2999,2999,35000,-
13/01/2021 16:30:03,4596,3500,-,35000,-
13/01/2021 17:51:57,4596,3500,-,35000,-
13/01/2021 18:04:36,4596,3500,-,35000,-
13/01/2021 18:58:44,4596,3500,-,35000,-
13/01/2021 19:11:04,4596,3499,-,34999,-
13/01/2021 20:14:08,4596,3499,-,34999,-
13/01/2021 20:25:00,4596,3499,-,34999,-
13/01/2021 22:38:59,4596,3499,-,34999,-
13/01/2021 22:48:11,4596,3499,-,34999,-
14/01/2021 00:54:15,4596,3499,-,34999,-
14/01/2021 01:07:02,4596,3499,-,34999,-
14/01/2021 02:54:50,4596,3499,-,34999,-
14/01/2021 03:06:39,4596,3499,-,34999,-
14/01/2021 07:58:28,4596,3499,-,34999,-
14/01/2021 08:10:15,4596,3499,-,34999,-
14/01/2021 13:23:45,4596,2999,2999,34999,-
14/01/2021 13:35:27,4596,2999,2999,34999,-
14/01/2021 16:34:46,4596,2999,2999,34999,-
14/01/2021 16:41:06,4596,2999,2999,34999,-
14/01/2021 20:09:19,4596,3000,3000,34999,-
14/01/2021 20:21:44,4596,3000,3000,34999,-
15/01/2021 00:04:50,4596,3000,3000,34998,-
15/01/2021 00:17:17,4596,3000,3000,34998,-
15/01/2021 03:02:08,4596,3000,3000,34998,-
15/01/2021 03:14:47,4596,3000,3000,34998,-
15/01/2021 05:12:57,4596,3000,3000,34998,-
15/01/2021 05:25:09,4596,3000,3000,34998,-
16/01/2021 05:12:04,4495,2998,2998,35000,-
16/01/2021 05:23:58,4495,2998,2998,35000,-
16/01/2021 06:14:53,4495,2998,2998,35000,-
16/01/2021 06:26:41,4495,2998,2998,35000,-
16/01/2021 07:17:34,4488,2999,2999,35000,-
16/01/2021 07:29:46,4488,2999,2999,35000,-
16/01/2021 08:21:36,4488,2999,2999,35000,-
16/01/2021 08:33:24,4488,2999,2999,35000,-
16/01/2021 09:25:19,4446,2999,2999,35000,-
16/01/2021 09:37:05,4446,2999,2999,35000,-
16/01/2021 10:29:08,4446,2999,2999,35000,-
16/01/2021 10:41:21,4446,2999,2999,35000,-
16/01/2021 15:54:45,4446,2999,2999,35000,-
16/01/2021 16:07:21,4446,2999,2999,35000,-
16/01/2021 17:00:45,4446,2999,2999,35000,-
16/01/2021 17:13:16,4446,2999,2999,35000,-
