,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:55:44,44274,31000,49999,5,40299,39999,83445300,9134
11/01/2021 13:29:41,43914,31000,49999,5,40299,39999,83445300,9134
11/01/2021 16:29:08,43991,31000,49999,5,40299,39999,83445300,9134
13/01/2021 00:23:50,43459,35000,54444,2,44722,44722,189034568,13748
13/01/2021 00:53:02,43459,35000,54444,2,44722,44722,189034568,13748
13/01/2021 01:44:46,43459,35000,54444,2,44722,44722,189034568,13748
13/01/2021 20:37:21,43755,54444,54444,1,,,,
13/01/2021 22:58:34,43755,38000,54443,2,46221,46221,135186124,11626
14/01/2021 01:19:02,43803,38000,54443,2,46221,46221,135186124,11626
14/01/2021 03:18:12,43770,,,0,,,,
14/01/2021 08:21:41,43770,,,0,,,,
14/01/2021 13:46:29,43818,53000,54443,2,53721,53721,1041124,1020
14/01/2021 20:34:19,44019,,,0,,,,
15/01/2021 00:29:27,44556,,,0,,,,
15/01/2021 05:37:04,44602,54219,54219,1,,,,
17/01/2021 02:07:51,46065,68000,74997,2,71498,71498,24479004,4947
17/01/2021 06:26:11,46266,68000,74997,4,69749,68000,12239502,3498
17/01/2021 10:08:48,46395,68000,74997,4,69749,68000,12239502,3498
17/01/2021 11:56:48,47405,68000,74999,4,69749,68000,12246500,3499
17/01/2021 13:31:39,47652,68000,74999,4,69749,68000,12246500,3499
17/01/2021 15:14:03,47774,68000,69000,4,68250,68000,250000,500
17/01/2021 16:45:45,47922,68000,69000,4,68250,68000,250000,500
18/01/2021 15:06:19,49937,55775,89999,8,69596,68500,88001391,9380
18/01/2021 17:35:23,50080,59000,89999,8,66749,63999,106498785,10319
