,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:18:40,10139,11500,17995,115000,1499999
11/01/2021 14:50:04,10151,11499,11499,114999,1499999
11/01/2021 17:49:46,10238,14999,-,-,1499999
13/01/2021 13:05:15,11725,11399,13999,113998,1499999
13/01/2021 13:39:39,11731,11399,-,113998,1499999
13/01/2021 14:54:05,11731,11399,-,113998,1499999
13/01/2021 15:57:30,11731,11399,-,113998,1499999
13/01/2021 17:30:38,11731,11399,-,113998,1499999
13/01/2021 18:37:57,11731,11399,-,113998,1499999
13/01/2021 19:51:54,11666,11399,-,113999,1499999
13/01/2021 22:17:07,11666,8999,8999,113999,1499999
14/01/2021 00:33:31,11666,8999,8999,113998,1499999
14/01/2021 02:34:26,11666,8999,8999,113955,1499999
14/01/2021 07:37:57,11666,8999,8999,113955,1499999
14/01/2021 13:03:00,11611,8999,8999,113955,1499999
14/01/2021 16:13:24,11611,8998,8998,113954,1499999
14/01/2021 19:47:43,11611,8998,8998,113954,1499999
14/01/2021 23:43:28,11508,11395,-,113954,1499999
15/01/2021 02:40:59,11508,11395,-,113953,1499999
15/01/2021 04:51:51,11524,11395,-,113953,1499999
16/01/2021 04:51:53,11459,10999,-,109999,1499999
16/01/2021 05:54:55,11459,10999,-,109999,1499999
16/01/2021 06:57:35,11459,10999,-,109999,1499999
16/01/2021 08:01:14,11459,10999,-,109999,1499999
16/01/2021 09:05:08,11459,10999,-,109998,1499999
16/01/2021 10:08:24,11484,10999,13333,109998,1499999
16/01/2021 11:12:54,11484,10999,13333,109998,1499999
16/01/2021 15:33:39,11484,10999,13333,109998,1499999
16/01/2021 16:39:39,11484,10999,13333,109998,1499999
