,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:09:19,303,288,-,-,28887
11/01/2021 14:40:39,307,249,-,2888,24999
11/01/2021 17:40:26,303,234,1500,4999,23499
13/01/2021 12:05:47,179,220,-,4499,22000
13/01/2021 12:53:14,179,220,-,4499,22000
13/01/2021 13:31:31,191,219,-,4499,21999
13/01/2021 14:42:09,191,219,-,4499,21998
13/01/2021 15:45:31,191,219,-,4499,21998
13/01/2021 17:18:02,202,219,-,4500,21995
13/01/2021 18:25:33,219,219,-,4500,21999
13/01/2021 19:39:37,219,219,-,4500,21998
13/01/2021 22:03:43,229,219,-,4500,21995
14/01/2021 00:21:08,220,229,-,4500,22998
14/01/2021 02:22:25,229,230,-,4500,23000
14/01/2021 07:26:07,266,300,-,5555,30000
14/01/2021 12:51:15,266,299,-,5555,29999
14/01/2021 16:00:59,283,299,-,5555,29900
14/01/2021 19:35:11,300,399,1500,5555,39997
14/01/2021 23:30:58,327,380,1500,5555,38000
15/01/2021 02:28:38,327,379,1500,5555,37998
15/01/2021 04:39:21,327,369,1500,5555,36998
16/01/2021 04:39:48,315,299,1500,4000,29995
16/01/2021 05:42:48,315,299,1500,4000,29995
16/01/2021 06:45:34,315,299,1500,4000,29995
16/01/2021 07:48:49,315,299,1500,4000,29995
16/01/2021 08:52:52,315,299,1500,4000,29995
16/01/2021 09:56:06,315,290,1500,4000,29000
16/01/2021 11:00:40,315,289,1500,4000,28900
16/01/2021 15:20:37,301,289,1500,4000,28999
16/01/2021 16:27:08,301,286,1500,4000,28699
16/01/2021 18:28:25,306,269,1500,4000,26999
16/01/2021 19:37:26,322,222,-,4000,22222
16/01/2021 20:47:45,325,200,200,4000,21999
16/01/2021 22:04:27,292,219,599,4000,21900
16/01/2021 23:15:45,236,219,599,3999,21900
