,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:23:43,86908,87888,89098,878888,-
11/01/2021 14:55:15,86908,87888,89089,878888,-
11/01/2021 17:54:57,86908,87888,-,878888,-
13/01/2021 13:46:26,87529,88899,88899,979998,-
13/01/2021 15:00:29,87529,88899,88899,979998,-
13/01/2021 16:04:04,87541,88995,88995,979998,-
13/01/2021 17:37:30,87667,89950,89950,979998,-
13/01/2021 18:44:41,87667,89950,89950,979998,-
13/01/2021 19:58:51,87667,89950,89950,979998,-
13/01/2021 22:24:06,87667,89950,89950,979998,-
14/01/2021 00:40:25,87667,89949,89949,979998,-
14/01/2021 02:40:57,87708,89997,89997,979998,-
14/01/2021 07:44:29,87708,89997,89997,979998,-
14/01/2021 13:09:33,87708,89996,89996,979998,-
14/01/2021 16:20:17,87708,97999,-,979998,-
14/01/2021 19:54:18,87708,97999,-,979998,-
14/01/2021 23:50:14,88039,89000,89000,979997,-
15/01/2021 02:47:37,88039,88999,88999,970323,-
15/01/2021 04:58:35,88798,88999,88999,979997,-
16/01/2021 04:58:08,88799,88999,88999,979997,-
16/01/2021 06:01:10,88799,88999,88999,979997,-
16/01/2021 07:03:49,88799,88999,88999,979997,-
16/01/2021 08:07:41,88799,88999,88999,979997,-
16/01/2021 09:11:23,88799,88999,88999,979997,-
16/01/2021 10:15:07,88799,88999,88999,979997,-
16/01/2021 11:19:29,88799,88999,88999,979997,-
16/01/2021 15:40:38,88799,85000,85000,979997,-
16/01/2021 16:46:32,88799,84999,84999,979997,-
