,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:11:35,208,208,-,-,20800
11/01/2021 14:42:56,207,200,-,2900,20000
11/01/2021 17:42:43,207,209,-,-,20900
13/01/2021 12:08:45,208,193,299,2896,19333
13/01/2021 12:56:15,208,193,299,2896,19333
13/01/2021 13:34:30,208,193,299,2896,19333
13/01/2021 14:45:03,208,193,299,2896,19333
13/01/2021 15:48:26,208,193,299,2896,19333
13/01/2021 17:21:13,208,190,299,2895,19000
13/01/2021 18:28:34,208,190,200,2444,19000
13/01/2021 19:42:38,208,185,200,2444,18500
13/01/2021 22:07:04,208,184,-,2443,18499
14/01/2021 00:24:08,208,184,-,2299,18499
14/01/2021 02:25:24,208,184,-,2299,18499
14/01/2021 07:29:01,209,183,-,2300,18300
14/01/2021 12:54:07,209,182,-,2300,18299
14/01/2021 16:03:54,209,182,-,2300,18299
14/01/2021 19:38:15,209,182,-,1850,18299
14/01/2021 23:34:01,209,182,-,1850,18298
15/01/2021 02:31:41,209,182,-,1850,18298
15/01/2021 04:42:27,209,182,-,1850,18298
16/01/2021 04:42:52,204,100,100,1798,18024
16/01/2021 05:45:47,204,100,100,1798,18024
16/01/2021 06:48:34,204,100,100,1798,18024
16/01/2021 07:51:49,204,100,100,1798,18024
16/01/2021 08:55:59,204,100,100,1798,16666
16/01/2021 09:59:07,204,100,100,1798,16666
16/01/2021 11:03:41,204,100,100,1798,16666
16/01/2021 15:23:53,204,90,90,1798,16665
16/01/2021 16:30:20,182,90,90,1798,18300
