,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:10:15,202,135,199,1355,24997
11/01/2021 14:41:36,202,100,100,1355,24997
11/01/2021 17:41:22,202,100,100,1355,24997
13/01/2021 12:07:02,202,100,100,1399,22222
13/01/2021 12:54:29,202,100,100,1399,22222
13/01/2021 13:32:46,202,100,100,1399,22222
13/01/2021 14:43:21,202,100,100,1399,22222
13/01/2021 15:46:46,202,100,100,1399,22222
13/01/2021 17:19:25,202,100,100,1399,22222
13/01/2021 18:26:48,202,100,100,1399,22222
13/01/2021 19:40:52,202,100,100,1399,22222
13/01/2021 22:05:08,202,100,100,1399,22222
14/01/2021 00:22:23,202,100,100,1399,22222
14/01/2021 02:23:40,202,100,100,1399,22222
14/01/2021 07:27:18,202,100,100,1399,22222
