,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:22:38,7052,5450,24000,75000,545000
11/01/2021 14:54:09,7072,5450,24000,74999,545000
11/01/2021 17:53:52,7072,5450,24000,74999,545000
13/01/2021 13:45:00,-,80,80,75000,295000
13/01/2021 14:59:06,5026,2950,-,75000,295000
13/01/2021 16:02:42,5026,2950,-,75000,295000
13/01/2021 17:36:04,5026,2950,-,75000,295000
13/01/2021 18:43:17,5026,2950,-,75000,295000
13/01/2021 19:57:19,5133,2950,-,75000,295000
13/01/2021 22:22:38,5133,2950,-,74997,295000
14/01/2021 00:38:54,5133,2950,-,74997,295000
14/01/2021 02:39:36,5292,2950,25000,74997,295000
14/01/2021 07:43:07,5292,2950,25000,74997,295000
14/01/2021 13:08:11,5649,2950,-,74999,295000
14/01/2021 16:18:51,4810,2950,-,74999,295000
14/01/2021 19:52:54,4810,2950,-,74999,295000
14/01/2021 23:48:51,4336,2999,-,74998,299999
15/01/2021 02:46:13,4336,2999,-,74998,299999
15/01/2021 04:57:09,4452,2999,-,74998,299999
16/01/2021 04:56:45,4639,2950,7000,74999,295000
16/01/2021 05:59:46,4639,2950,7000,74999,295000
16/01/2021 07:02:27,4639,2950,7000,74999,295000
16/01/2021 08:06:15,4639,2950,7000,74999,295000
16/01/2021 09:09:59,4639,2950,7000,74999,295000
16/01/2021 10:13:41,4639,2950,7000,74999,295000
16/01/2021 11:18:02,4639,2950,7000,74999,295000
16/01/2021 15:39:13,4675,2950,25000,74000,295000
16/01/2021 16:45:04,4675,2950,25000,74000,295000
16/01/2021 18:47:02,4675,2950,25000,74000,295000
16/01/2021 19:56:47,4675,2950,25000,74000,295000
16/01/2021 22:23:41,4675,2950,25000,74000,295000
16/01/2021 23:34:47,4675,2950,25000,74000,295000
17/01/2021 01:26:38,4603,2949,25000,29999,294998
17/01/2021 02:21:11,4603,2500,25000,25000,294998
17/01/2021 03:14:17,4425,2500,25000,25000,294998
17/01/2021 04:06:54,4425,2500,25000,25000,294998
17/01/2021 05:01:27,4425,2500,25000,25000,294998
17/01/2021 05:53:32,4425,2500,25000,25000,294998
17/01/2021 06:45:26,4425,2500,25000,25000,294998
17/01/2021 07:37:35,4425,2500,25000,25000,294998
17/01/2021 09:22:30,4425,2500,25000,25000,294998
17/01/2021 10:16:10,4425,2500,25000,25000,294998
17/01/2021 12:31:37,4517,2500,25000,25000,290000
17/01/2021 13:24:58,4517,2500,25000,25000,290000
17/01/2021 14:18:50,4517,2500,25000,25000,290000
17/01/2021 15:12:19,4517,2500,25000,25000,290000
17/01/2021 16:06:39,4517,2500,25000,25000,290000
18/01/2021 15:37:42,4330,1900,14999,19000,285000
18/01/2021 17:19:22,4330,1900,14999,19000,285000
18/01/2021 18:21:55,4330,1900,14999,19000,285000
