,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:03:01,1257,795,1289,8499,79500
11/01/2021 14:34:31,1257,795,1289,8499,79500
11/01/2021 17:34:15,1257,795,1289,8499,79500
13/01/2021 11:57:44,1113,699,699,8498,79999
13/01/2021 12:45:13,1113,699,699,8498,79999
13/01/2021 13:23:23,1113,699,699,8498,79999
13/01/2021 14:34:25,1113,699,699,8498,79999
13/01/2021 15:37:45,1113,699,699,8498,79999
13/01/2021 17:10:12,1113,699,699,8498,79999
13/01/2021 18:17:26,1113,699,699,8498,79999
13/01/2021 19:31:15,1113,699,699,8498,79999
13/01/2021 21:56:38,1113,699,699,8498,79999
14/01/2021 00:13:18,1113,699,699,8498,79999
14/01/2021 02:14:41,1113,699,699,8498,79999
14/01/2021 07:18:21,1113,699,699,8498,79999
14/01/2021 12:43:36,1113,699,699,8498,79999
14/01/2021 15:53:08,1113,699,699,8498,79999
14/01/2021 19:27:13,1113,699,699,8498,79999
14/01/2021 23:22:41,1113,699,699,8498,79999
15/01/2021 02:20:37,1113,699,699,8498,79999
15/01/2021 04:31:09,1113,699,699,8498,79999
16/01/2021 04:31:44,1113,690,690,8498,79999
16/01/2021 05:34:59,1113,690,690,8498,79999
16/01/2021 06:37:42,1113,690,690,8498,79999
16/01/2021 07:40:58,1113,690,690,8498,79999
16/01/2021 08:44:46,1113,690,690,8498,79999
16/01/2021 09:48:14,1113,690,690,8498,79999
16/01/2021 10:52:37,1113,690,690,8498,79999
16/01/2021 15:12:06,1113,690,690,8498,79999
16/01/2021 16:18:52,1113,690,690,8498,79999
16/01/2021 18:19:31,1113,690,690,8498,79999
16/01/2021 19:28:36,1113,690,690,8498,79999
16/01/2021 20:38:59,1113,690,690,8498,79999
16/01/2021 21:55:20,1113,690,690,8498,79999
16/01/2021 23:06:51,1113,690,690,8498,79999
