,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:00:52,278754,268000,33333333,17,2239630,270000,64206032683532,8012866
11/01/2021 13:34:50,278556,263111,33333333,20,1943152,268500,54592548843915,7388677
11/01/2021 16:34:12,278302,268500,33333333,14,2661551,269250,77936447354095,8828162
13/01/2021 00:30:28,413585,500000,500000,2,500000,500000,0,0
13/01/2021 00:59:51,413973,500000,500000,1,,,,
13/01/2021 01:51:35,413973,450000,500000,3,466666,450000,833333333,28867
13/01/2021 20:44:48,414388,430000,500000,5,451000,440000,805000000,28372
13/01/2021 23:05:57,414388,420000,500000,8,442500,437500,628571428,25071
14/01/2021 01:26:24,414388,420000,500000,8,442500,437500,628571428,25071
14/01/2021 03:24:57,414388,420000,500000,8,442500,437500,628571428,25071
14/01/2021 08:28:42,414388,420000,500000,8,442500,437500,628571428,25071
14/01/2021 13:53:08,414435,420000,500000,8,445625,440000,581696428,24118
14/01/2021 20:41:28,414934,390000,440000,14,413642,407500,369016483,19209
15/01/2021 00:35:58,414487,390000,440000,14,410500,399500,345192307,18579
15/01/2021 05:43:38,414552,390000,435000,14,410000,399500,316461538,17789
