,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:56:36,15060,10900,10900,-,-
11/01/2021 15:26:21,15060,10900,10900,-,-
11/01/2021 18:26:28,15060,10900,10900,-,-
14/01/2021 02:11:58,14945,12000,12000,-,-
14/01/2021 07:15:48,14913,15000,15000,-,-
14/01/2021 12:40:54,14913,15000,15000,-,-
14/01/2021 14:42:54,14909,15000,15000,-,-
14/01/2021 15:50:21,14909,15000,15000,-,-
14/01/2021 19:24:25,14909,15000,15000,-,-
14/01/2021 23:19:42,14910,49999,49999,-,-
15/01/2021 02:17:40,14910,49994,49994,-,-
15/01/2021 04:28:07,14910,49994,49994,-,-
