,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:37:58,95,4998,4998,-,-
11/01/2021 02:47:34,95,4998,4998,-,-
11/01/2021 15:09:20,95,4998,4998,-,-
11/01/2021 15:18:45,95,4998,4998,-,-
11/01/2021 18:09:19,95,4998,4998,-,-
11/01/2021 18:18:49,95,4998,4998,-,-
13/01/2021 14:04:38,95,4998,4998,-,-
13/01/2021 14:16:27,95,4998,4998,-,-
13/01/2021 15:18:28,95,4998,4998,-,-
13/01/2021 16:22:07,95,4998,4998,-,-
13/01/2021 16:34:14,95,4998,4998,-,-
13/01/2021 17:56:20,95,4998,4998,-,-
13/01/2021 18:08:58,95,4998,4998,-,-
13/01/2021 19:03:06,95,4998,4998,-,-
13/01/2021 19:15:26,95,4998,4998,-,-
13/01/2021 20:18:46,95,4998,4998,-,-
13/01/2021 20:29:19,95,100,100,-,-
13/01/2021 22:43:37,95,100,100,-,-
13/01/2021 22:52:51,95,100,100,-,-
14/01/2021 00:58:50,95,100,100,-,-
14/01/2021 01:11:23,95,100,100,-,-
14/01/2021 02:58:58,95,100,100,-,-
14/01/2021 03:10:44,95,100,100,-,-
14/01/2021 08:02:26,95,100,100,-,-
14/01/2021 08:14:16,95,100,100,-,-
