,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:15:09,2052,1400,1400,45000,-
11/01/2021 14:46:27,2052,1400,1400,45000,-
11/01/2021 17:46:16,2052,1400,1400,45000,-
13/01/2021 12:13:26,2052,1400,1400,24999,-
13/01/2021 13:00:45,2052,1400,1400,24999,-
13/01/2021 14:49:34,2052,1400,1400,24999,-
13/01/2021 15:52:59,2052,1400,1400,24999,-
13/01/2021 17:25:58,2052,1400,1400,24999,-
13/01/2021 18:33:16,2052,1400,1400,24999,-
13/01/2021 19:47:14,2052,1400,1400,24999,-
13/01/2021 22:12:20,2082,4499,-,44999,-
14/01/2021 00:28:52,2082,4499,-,44999,-
14/01/2021 02:29:56,2082,4499,-,44999,-
14/01/2021 07:33:30,2082,4499,-,44999,-
14/01/2021 12:58:31,2082,4499,-,44999,-
14/01/2021 16:08:39,2082,4499,-,44999,-
14/01/2021 19:43:08,2082,4499,-,44999,-
14/01/2021 23:38:51,2082,449,-,44999,44999
15/01/2021 02:36:23,1575,4499,-,44999,-
15/01/2021 04:47:11,1575,4499,-,44999,-
16/01/2021 04:47:24,1575,4499,-,44999,-
16/01/2021 05:50:25,1575,4499,-,44999,-
16/01/2021 06:53:03,1575,4499,-,44999,-
16/01/2021 07:56:30,1575,4499,-,44999,-
16/01/2021 09:00:38,1575,4499,-,44999,-
16/01/2021 10:03:38,1575,4499,-,44999,-
16/01/2021 11:08:21,1575,4499,-,44999,-
16/01/2021 15:28:49,1575,1500,1500,44999,-
16/01/2021 16:35:03,1575,1500,1500,44999,-
