,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:39:38,60,59,-,-,5999
11/01/2021 02:49:15,60,59,-,-,5999
11/01/2021 15:10:40,60,59,-,-,5999
11/01/2021 15:20:06,60,59,-,-,5999
11/01/2021 18:10:43,60,59,-,-,5999
11/01/2021 18:20:13,60,59,-,-,5999
13/01/2021 14:06:25,72,64,-,1999,6499
13/01/2021 14:18:14,72,64,-,1999,6499
13/01/2021 15:20:16,72,64,-,1999,6499
13/01/2021 16:23:50,72,64,-,1999,6499
13/01/2021 16:35:59,72,64,-,1999,6499
13/01/2021 17:58:11,72,64,-,1999,6499
13/01/2021 18:10:47,72,64,-,1999,6499
13/01/2021 19:04:56,72,64,-,1999,6499
13/01/2021 19:17:15,72,64,-,1999,6499
13/01/2021 20:20:39,72,64,-,1999,6499
13/01/2021 20:31:09,72,64,-,1999,6499
13/01/2021 22:54:47,72,64,-,1999,6499
14/01/2021 01:00:42,82,64,-,1999,6499
14/01/2021 01:13:12,82,64,-,1999,6499
14/01/2021 03:00:41,82,64,-,1999,6499
14/01/2021 03:12:29,82,64,-,1999,6499
14/01/2021 08:04:18,82,64,-,1999,6499
14/01/2021 08:16:08,82,64,-,1999,6499
14/01/2021 13:29:34,82,60,-,1999,6000
14/01/2021 13:41:04,82,60,-,1999,6000
14/01/2021 16:47:06,82,60,-,1999,6000
14/01/2021 20:15:17,82,60,-,1999,6000
14/01/2021 20:28:06,82,60,-,1999,6000
15/01/2021 00:11:12,82,60,-,1999,6000
15/01/2021 00:23:37,82,60,-,1999,6000
15/01/2021 03:08:34,82,60,-,1999,6000
15/01/2021 03:21:05,82,60,-,1999,6000
15/01/2021 05:19:05,82,60,-,1999,6000
15/01/2021 05:31:19,82,60,-,1999,6000
16/01/2021 05:17:56,86,60,200,1999,6000
16/01/2021 05:29:45,86,60,200,1999,6000
16/01/2021 06:20:39,86,60,200,1999,6000
16/01/2021 06:32:28,86,60,200,1999,6000
16/01/2021 07:23:30,86,60,200,1999,6000
16/01/2021 07:35:41,104,60,200,1999,6000
16/01/2021 08:27:22,104,60,200,1999,6000
16/01/2021 08:39:21,104,60,200,1999,6000
16/01/2021 09:31:05,104,60,200,1999,6000
16/01/2021 09:42:57,104,60,200,1999,6000
16/01/2021 10:35:06,104,60,200,1999,6000
16/01/2021 10:47:14,104,60,200,1999,6000
16/01/2021 16:01:02,106,5,200,50,6000
16/01/2021 16:13:27,106,5,200,50,6000
16/01/2021 17:06:53,106,5,200,50,6000
16/01/2021 17:19:30,106,5,200,50,6000
