,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:27:01,-,9999,9999,-,-
11/01/2021 02:30:04,-,9999,9999,-,-
11/01/2021 14:58:34,-,9999,9999,-,-
11/01/2021 15:01:29,-,9999,9999,-,-
11/01/2021 17:58:14,-,9999,9999,-,-
11/01/2021 18:01:17,-,9999,9999,-,-
13/01/2021 13:50:51,0,9999,9999,-,-
13/01/2021 13:54:31,0,9999,9999,-,-
13/01/2021 15:04:41,0,9999,9999,-,-
13/01/2021 15:08:21,0,9999,9999,-,-
13/01/2021 16:08:15,0,9999,9999,-,-
13/01/2021 16:11:57,0,9999,9999,-,-
13/01/2021 17:41:55,0,9999,9999,-,-
13/01/2021 17:45:45,0,9999,9999,-,-
13/01/2021 18:49:01,0,9999,9999,-,-
13/01/2021 18:52:47,0,9999,9999,-,-
13/01/2021 20:03:30,0,9999,9999,-,-
13/01/2021 20:07:43,0,9999,9999,-,-
13/01/2021 22:28:27,0,9999,9999,-,-
13/01/2021 22:32:30,0,9999,9999,-,-
14/01/2021 00:47:46,0,9999,9999,-,-
14/01/2021 02:45:14,0,9999,9999,-,-
14/01/2021 02:49:01,0,9999,9999,-,-
14/01/2021 07:48:45,0,9999,9999,-,-
14/01/2021 07:52:34,0,9999,9999,-,-
14/01/2021 13:13:51,0,9998,9998,-,-
14/01/2021 13:17:42,0,9998,9998,-,-
14/01/2021 16:24:37,0,9998,9998,-,-
14/01/2021 16:28:35,0,9998,9998,-,-
14/01/2021 19:58:48,0,9998,9998,-,-
14/01/2021 20:02:57,0,9998,9998,-,-
14/01/2021 23:54:40,0,9998,9998,-,-
14/01/2021 23:58:41,0,9998,9998,-,-
15/01/2021 02:52:07,0,9998,9998,-,-
15/01/2021 02:55:56,0,9998,9998,-,-
15/01/2021 05:03:03,0,9998,9998,-,-
15/01/2021 05:06:51,0,9998,9998,-,-
16/01/2021 05:02:23,0,9998,9998,-,-
16/01/2021 05:06:05,0,9998,9998,-,-
16/01/2021 06:05:20,0,9998,9998,-,-
16/01/2021 06:08:58,0,9998,9998,-,-
16/01/2021 07:08:01,0,9998,9998,-,-
16/01/2021 07:11:39,0,9998,9998,-,-
16/01/2021 08:12:01,0,9998,9998,-,-
16/01/2021 08:15:42,0,9998,9998,-,-
16/01/2021 09:15:43,0,9998,9998,-,-
16/01/2021 09:19:24,0,9998,9998,-,-
16/01/2021 10:19:30,0,9998,9998,-,-
16/01/2021 10:23:09,0,9998,9998,-,-
16/01/2021 15:45:00,0,9998,9998,-,-
16/01/2021 15:48:38,0,9998,9998,-,-
16/01/2021 16:50:55,0,9998,9998,-,-
16/01/2021 16:54:36,0,9998,9998,-,-
