,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:55:37,53439,52499,61997,524999,-
11/01/2021 15:25:22,53439,49997,49997,524999,-
11/01/2021 18:25:28,53299,52499,52997,524999,-
14/01/2021 02:10:39,53208,52189,59997,521896,-
14/01/2021 07:14:30,53208,52189,59997,521896,-
14/01/2021 12:39:38,53208,52189,-,521894,-
14/01/2021 14:41:38,53208,52189,59993,521894,-
14/01/2021 15:49:02,53122,52189,59993,521894,-
14/01/2021 19:23:05,53122,52189,57999,521894,-
14/01/2021 23:18:18,52858,49999,57995,499994,-
15/01/2021 02:16:17,52195,49999,50000,499994,-
15/01/2021 04:26:41,52195,49999,50000,499993,-
17/01/2021 01:35:27,47312,42499,44800,424993,-
17/01/2021 02:37:11,45882,44800,44800,450000,-
17/01/2021 05:46:39,45882,45000,-,450000,-
17/01/2021 06:56:52,45882,45000,-,450000,-
17/01/2021 09:35:08,45882,44798,44798,449999,-
17/01/2021 11:19:17,45882,43999,43999,449999,-
17/01/2021 12:57:19,45882,43999,43999,449999,-
17/01/2021 14:36:36,45882,43999,43999,449999,-
17/01/2021 16:05:37,45882,43998,43998,449999,-
17/01/2021 18:25:29,45882,43997,43997,449999,-
18/01/2021 14:28:06,45693,42999,-,429997,-
18/01/2021 15:29:07,45693,42999,-,429997,-
18/01/2021 16:58:53,45693,42999,-,429997,-
