,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:59:13,1626,1500,2398,28999,150000
11/01/2021 15:28:51,1623,1400,1400,17000,158000
11/01/2021 18:28:58,1623,1400,1400,17000,157999
14/01/2021 01:52:37,1742,1350,1400,13500,179989
14/01/2021 06:44:34,1746,1399,1400,13999,179989
14/01/2021 06:56:14,1746,1399,1400,13999,179989
14/01/2021 12:22:09,1777,1399,1400,13999,179989
14/01/2021 14:24:05,1777,1399,1400,13998,179987
14/01/2021 15:30:48,1777,1399,1400,13998,179987
14/01/2021 19:04:42,1784,1399,1400,13998,179900
14/01/2021 22:46:18,1606,1798,2500,17998,179898
14/01/2021 22:59:30,1606,1798,2500,17998,179898
15/01/2021 01:57:22,1606,1789,2500,17997,178999
15/01/2021 03:45:48,1785,1798,2500,17997,179800
15/01/2021 04:07:39,1785,1798,2500,17997,179800
15/01/2021 10:59:20,1798,1499,1499,17000,179898
17/01/2021 01:25:27,1989,1400,4000,31999,140000
17/01/2021 05:36:08,2139,1399,4000,31999,139999
17/01/2021 09:24:32,1400,1400,4000,31999,140000
17/01/2021 11:09:48,1400,1400,4000,31999,140000
17/01/2021 12:46:19,1400,1400,4000,31999,140000
17/01/2021 14:26:03,1400,1400,4000,31999,140000
17/01/2021 15:54:58,1426,1449,3999,31999,144999
17/01/2021 18:14:41,1400,2499,3999,31999,249999
18/01/2021 14:18:28,2480,2489,2498,31899,248996
18/01/2021 16:49:16,2480,2399,2399,31899,248887
18/01/2021 18:33:27,2333,2199,2399,23000,219999
