,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:32:52,46995,3400,3400,40000,-
11/01/2021 02:42:25,46995,3400,3400,40000,-
11/01/2021 15:04:11,46995,3400,3400,40000,-
11/01/2021 15:13:38,46995,3400,3400,40000,-
11/01/2021 18:04:09,46995,3400,3400,40000,-
11/01/2021 18:13:40,46995,3400,3400,40000,-
13/01/2021 13:57:54,46995,3400,3400,40000,-
13/01/2021 14:09:43,46995,3400,3400,40000,-
13/01/2021 15:11:42,46995,3400,3400,40000,-
13/01/2021 16:15:20,46995,3400,3400,40000,-
13/01/2021 16:27:37,46995,3400,3400,40000,-
13/01/2021 17:49:18,46995,3400,3400,40000,-
13/01/2021 18:02:01,46995,3400,3400,40000,-
13/01/2021 18:56:16,46995,3400,3400,40000,-
13/01/2021 19:08:37,46995,3400,3400,40000,-
13/01/2021 20:11:29,46995,3400,3400,40000,-
13/01/2021 22:36:16,46995,3400,3400,40000,-
13/01/2021 22:45:29,46995,3400,3400,40000,-
14/01/2021 00:51:32,46995,3400,3400,40000,-
14/01/2021 01:04:31,46995,3400,3400,40000,-
14/01/2021 02:52:26,46995,3400,3400,40000,-
14/01/2021 03:04:17,46995,3400,3400,40000,-
14/01/2021 07:56:07,46995,3400,3400,40000,-
14/01/2021 08:07:56,46995,3400,3400,40000,-
14/01/2021 13:21:19,46995,3400,3400,40000,-
14/01/2021 13:33:05,46995,3400,3400,40000,-
14/01/2021 16:32:11,46995,3400,3400,40000,-
14/01/2021 16:38:30,46995,3400,3400,40000,-
14/01/2021 20:06:47,46995,3400,3400,40000,-
14/01/2021 20:19:16,46995,3400,3400,40000,-
15/01/2021 00:02:20,46995,3399,3399,40000,-
15/01/2021 00:14:52,46995,3399,3399,40000,-
15/01/2021 02:59:37,46995,3399,3399,40000,-
15/01/2021 03:12:24,46995,3399,3399,40000,-
15/01/2021 05:10:25,46995,3399,3399,40000,-
15/01/2021 05:22:45,46995,3399,3399,40000,-
16/01/2021 05:09:34,46799,3400,3400,40000,-
16/01/2021 05:21:32,46799,3400,3400,40000,-
16/01/2021 06:12:27,46799,3400,3400,40000,-
16/01/2021 06:24:17,46799,3400,3400,40000,-
16/01/2021 07:15:09,46799,3400,3400,40000,-
16/01/2021 07:27:16,46799,3400,3400,40000,-
16/01/2021 08:19:11,46799,3400,3400,40000,-
16/01/2021 08:30:59,46799,3400,3400,40000,-
16/01/2021 09:22:54,46799,3400,3400,40000,-
16/01/2021 09:34:39,46799,3400,3400,40000,-
16/01/2021 10:26:42,46799,3400,3400,40000,-
16/01/2021 10:38:50,46799,3400,3400,40000,-
16/01/2021 15:52:10,46799,3400,3400,40000,-
16/01/2021 16:04:48,46799,3400,3400,40000,-
16/01/2021 16:58:10,46799,3400,3400,40000,-
16/01/2021 17:10:42,46799,3400,3400,40000,-
16/01/2021 19:00:39,46799,3400,3400,40000,-
16/01/2021 19:13:26,46799,3400,3400,40000,-
16/01/2021 20:10:47,46799,3400,3400,40000,-
16/01/2021 20:23:41,46799,3400,3400,40000,-
16/01/2021 22:37:48,46799,3400,3400,40000,-
16/01/2021 22:51:19,46799,3400,3400,40000,-
16/01/2021 23:48:46,46799,3400,3400,40000,-
17/01/2021 00:01:48,46799,3400,3400,40000,-
