,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:55:06,328,240,4989,3200,24000
11/01/2021 15:24:51,228,200,250,2400,20000
11/01/2021 18:24:57,221,199,250,2399,19998
14/01/2021 02:10:03,319,250,250,4999,30000
14/01/2021 07:13:54,312,250,250,3499,32000
14/01/2021 12:39:03,316,310,3000,4999,31000
14/01/2021 14:41:03,316,300,3000,4999,30000
14/01/2021 15:48:26,316,299,3000,4999,29999
14/01/2021 19:22:28,295,289,3000,4999,28999
14/01/2021 23:17:41,304,250,250,2900,30999
15/01/2021 02:15:39,308,290,3000,2900,30998
15/01/2021 04:26:03,309,290,3000,2900,30996
17/01/2021 01:34:50,290,289,289,-,31800
17/01/2021 02:36:32,319,289,289,-,31995
17/01/2021 05:45:59,319,289,289,-,31995
17/01/2021 06:56:12,319,289,289,-,31995
17/01/2021 09:34:28,315,289,289,-,31995
17/01/2021 11:18:38,315,289,289,3100,31995
17/01/2021 12:56:40,315,289,289,3100,31904
17/01/2021 14:35:56,314,289,289,3100,31904
17/01/2021 16:04:59,315,310,499,3100,31900
17/01/2021 18:24:48,307,220,499,3100,22000
18/01/2021 14:27:30,315,299,499,-,29999
18/01/2021 15:28:30,310,299,499,-,29998
18/01/2021 16:58:17,360,319,4989,-,31904
