,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:12:21,8383,9010,11000,90108,-
11/01/2021 14:43:42,8383,9000,10999,90108,900000
11/01/2021 17:43:29,8383,9000,10999,90108,900000
13/01/2021 12:09:46,8576,8989,9000,89890,900000
13/01/2021 12:57:14,8576,8989,9000,89890,900000
13/01/2021 13:35:31,8576,8989,9000,89890,900000
13/01/2021 14:46:02,8576,8989,9000,89890,900000
13/01/2021 15:49:25,8576,8989,9000,89890,900000
13/01/2021 17:22:16,8576,8989,9000,89890,900000
13/01/2021 18:29:35,8576,8989,9000,89890,900000
13/01/2021 19:43:39,8576,8989,9000,89890,900000
13/01/2021 22:08:28,8576,8989,9000,89890,900000
14/01/2021 00:25:12,8576,8989,9000,89890,900000
14/01/2021 02:26:27,8576,8989,9000,89890,900000
14/01/2021 07:29:59,8576,7500,7500,89890,900000
