,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:12:21,8383,9010,11000,90108,-
11/01/2021 14:43:42,8383,9000,10999,90108,900000
11/01/2021 17:43:29,8383,9000,10999,90108,900000
13/01/2021 12:09:46,8576,8989,9000,89890,900000
13/01/2021 12:57:14,8576,8989,9000,89890,900000
13/01/2021 13:35:31,8576,8989,9000,89890,900000
13/01/2021 14:46:02,8576,8989,9000,89890,900000
13/01/2021 15:49:25,8576,8989,9000,89890,900000
13/01/2021 17:22:16,8576,8989,9000,89890,900000
13/01/2021 18:29:35,8576,8989,9000,89890,900000
13/01/2021 19:43:39,8576,8989,9000,89890,900000
13/01/2021 22:08:28,8576,8989,9000,89890,900000
14/01/2021 00:25:12,8576,8989,9000,89890,900000
14/01/2021 02:26:27,8576,8989,9000,89890,900000
14/01/2021 07:29:59,8576,7500,7500,89890,900000
14/01/2021 12:55:06,8576,7500,7500,89000,900000
14/01/2021 16:04:55,8576,7499,7499,89000,900000
14/01/2021 19:39:20,8576,7499,7499,89000,900000
14/01/2021 23:35:03,8566,7490,7490,89000,900000
15/01/2021 02:32:42,8566,7490,7490,89000,900000
15/01/2021 04:43:31,8566,7490,7490,89000,900000
16/01/2021 04:43:53,8670,8399,-,83999,-
16/01/2021 05:46:51,8639,7499,7499,83999,-
16/01/2021 06:49:35,8639,7499,7499,83999,-
16/01/2021 07:52:53,8639,7499,7499,83999,-
16/01/2021 08:57:02,8639,7499,7499,83999,-
16/01/2021 10:00:09,8639,7499,7499,83999,-
16/01/2021 11:04:43,8639,7499,7499,83999,-
16/01/2021 15:24:59,8639,7499,7499,83999,-
16/01/2021 16:31:23,8639,7499,7499,83999,-
16/01/2021 18:32:47,8639,7499,7499,83999,-
16/01/2021 19:41:52,8639,7499,7499,83999,-
16/01/2021 20:52:11,8639,7499,7499,83999,-
16/01/2021 22:08:42,8639,7399,7399,83900,-
16/01/2021 23:20:14,8639,7399,7399,83890,-
17/01/2021 01:12:35,8639,7398,7398,82000,-
17/01/2021 02:07:17,8639,7398,7398,82000,-
17/01/2021 03:00:36,8639,7398,7398,82000,-
17/01/2021 03:53:19,8639,7398,7398,82000,-
17/01/2021 04:47:17,8639,7398,7398,82000,-
17/01/2021 05:40:19,8639,7398,7398,82000,-
17/01/2021 06:31:46,8639,7398,7398,82000,-
17/01/2021 07:24:16,8639,7398,7398,82000,-
17/01/2021 09:09:00,8639,7398,7398,82000,-
17/01/2021 10:01:38,8639,7398,7398,82000,-
17/01/2021 12:17:33,8639,7299,7299,82000,-
17/01/2021 13:10:53,8639,7299,7299,82000,-
17/01/2021 14:05:06,8541,8200,9000,82000,-
17/01/2021 14:58:10,8541,8199,9000,81999,-
17/01/2021 15:52:41,8541,8199,8999,81999,-
18/01/2021 13:57:21,8512,8000,8000,82000,-
18/01/2021 14:28:38,8512,8000,8000,82000,-
18/01/2021 15:01:51,8512,8000,8000,82000,-
18/01/2021 15:30:58,8512,8000,8000,82000,-
18/01/2021 16:04:56,8512,8000,8000,82000,-
18/01/2021 16:41:14,8512,8000,8000,82000,-
18/01/2021 17:12:56,8512,8000,8000,82000,-
18/01/2021 17:44:52,8512,8000,8000,82000,-
18/01/2021 18:14:43,8512,8000,8000,82000,-
