,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:25:09,1460,1450,2300,14500,-
11/01/2021 14:56:41,1460,1250,2300,12500,-
11/01/2021 17:56:24,1460,1250,2300,12500,-
13/01/2021 13:48:27,1443,1250,1342,12500,-
13/01/2021 15:02:21,1443,1250,1342,12500,-
13/01/2021 16:05:56,1443,1250,1342,12500,-
13/01/2021 17:39:28,1443,1250,1342,12500,-
13/01/2021 18:46:36,1443,1250,1342,12500,-
13/01/2021 20:00:53,1446,1250,2379,12500,-
13/01/2021 22:26:01,1446,1200,2379,12000,-
14/01/2021 00:42:21,1428,1400,2379,14000,-
14/01/2021 02:42:50,1428,1400,2379,14000,-
14/01/2021 07:46:21,1428,1400,2379,14000,-
14/01/2021 13:11:30,1422,1000,1000,19999,-
14/01/2021 19:56:15,1479,1400,-,14000,-
14/01/2021 23:52:10,1479,800,800,14000,-
15/01/2021 02:49:35,1475,800,800,14790,-
15/01/2021 05:00:33,1475,800,800,14790,-
16/01/2021 05:00:03,1491,1199,-,11999,-
16/01/2021 06:03:05,1491,1199,-,11999,-
16/01/2021 07:05:45,1491,1199,-,11999,-
16/01/2021 08:09:42,1491,1199,-,11999,-
16/01/2021 09:13:22,1491,1199,-,11999,-
16/01/2021 10:17:08,1491,1199,-,11999,-
16/01/2021 11:21:26,1491,1199,-,11999,-
16/01/2021 15:42:40,1491,999,-,9999,-
16/01/2021 16:48:35,1491,999,-,9999,-
